nombre_vsx,ra,dec,clase_variable
Gaia DR3 396313988373662464,0.01117,54.18569,ROT
Gaia DR3 430084354157209088,0.01121,63.19008,S
ZTF J000002.69+640614.8,0.01123,64.10413,EW:
Gaia DR3 393457972558357888,0.01128,49.09268,ROT
Gaia DR3 2341838309784102528,0.01128,-20.01388,RS
Gaia DR3 4991488194002763136,0.01146,-45.06545,ROT
Gaia DR3 395604253618281216,0.01152,51.82108,ROT
Gaia DR3 4989989761517087360,0.01169,-48.06099,ROT
Gaia DR3 2873404215619045760,0.01169,30.84502,ROT
Gaia DR3 530817795550983168,0.01171,70.33847,ROT
Gaia DR3 431595083132636544,0.01206,63.47334,ROT
Gaia DR3 429345482339348992,0.01219,60.55269,E
Gaia DR3 386570666076866560,0.0122,45.37641,RS
Gaia DR3 395716369443252224,0.0124,52.30191,ROT
ASASSN-V J000002.99+575539.1,0.01243,57.92755,DSCT
Gaia DR3 429483879057964928,0.01245,61.19131,ROT
Gaia DR3 4702976338577905536,0.01245,-70.24083,RRAB
ZTF J000002.99+611736.0,0.01246,61.29334,EW
Gaia DR3 393501815585399168,0.01247,49.64796,ROT
Gaia DR3 420485647695527808,0.01254,55.33548,ROT
ASASSN-V J000003.01+772205.1,0.01254,77.36808,SR
Gaia DR3 396269969245015296,0.01263,53.59749,ROT
ZTF J000003.05+410045.6,0.01271,41.01267,EW
ZTF J000003.10+722838.4,0.01292,72.47736,RS
Gaia DR3 431641846737630080,0.01299,64.18875,RS
PS1-3PI J000003.12-022548.2,0.01307,-2.43007,RRAB
Gaia DR3 2880586775327680768,0.01324,38.19096,S
ZTF J000003.17+582138.3,0.01325,58.36065,SR
Gaia DR3 396278769641142400,0.01333,53.78643,ROT
Gaia DR3 396272614945042432,0.01334,53.7256,VAR
WISE J000003.2+692213,0.01347,69.37059,EW
ZTF J000003.23+543605.4,0.01347,54.60151,BY
Gaia DR3 429387706150434560,0.0135,61.06663,L
Gaia DR3 2314711566924120960,0.01351,-31.23357,ROT
Gaia DR3 387157083731930112,0.01356,46.96337,ROT
Gaia DR3 2848500036731678464,0.01367,24.25194,ROT
Gaia DR3 393350117336264064,0.01378,48.58952,ROT
Gaia DR3 393326065521087616,0.0139,48.52373,DSCT|GDOR|SXPHE
ZTF J000003.33+550558.3,0.0139,55.09955,EW
Gaia DR3 422766584569101952,0.01402,58.71424,S
Gaia DR3 537607829607887744,0.01418,73.62623,ROT
ZTF J000003.40+623837.5,0.01419,62.64377,EW
Gaia DR3 2765315762977942912,0.01422,10.2205,ROT
Gaia DR3 422632311013907840,0.01433,58.02626,DSCT|GDOR|SXPHE
Gaia DR3 2875091175693891968,0.01434,33.56026,ROT
Gaia DR3 528988203903276672,0.01435,68.1158,YSO
Gaia DR3 432307601016603264,0.01446,65.91832,ROT
Gaia DR3 393360700135640960,0.01456,48.8636,ROT
Gaia DR3 531272443609123968,0.01467,71.31085,YSO
Gaia DR3 421084198641938560,0.01469,57.26367,ROT
Gaia DR3 431597179076666496,0.01474,63.55616,ROT
Gaia DR3 4990076695950430720,0.01489,-47.49999,ROT
Gaia DR3 529170589693558912,0.01493,69.29905,ROT
Gaia DR3 393499066806028672,0.01495,49.51239,ROT
Gaia DR3 429915029364650496,0.01516,62.15627,S
Gaia DR3 2853037893018101120,0.01518,24.87831,RS
Gaia DR3 2853486489467192576,0.01521,26.53791,ROT
GM And,0.01521,35.36286,RRAB
Gaia DR3 420382813301815808,0.0153,55.08077,E
Gaia DR3 429915579118303104,0.01532,62.20338,RS
Gaia DR3 2420686899952150912,0.01552,-14.3464,ROT
ZTF J000003.74+393925.9,0.01559,39.65722,EW
ZTF J000003.74+623637.4,0.0156,62.6104,EW
ZTF J000003.76+532917.1,0.01568,53.48811,BY
Gaia DR3 431781862669027328,0.01582,64.85414,L
Gaia DR3 2413957682631557120,0.01586,-19.02739,ROT
Gaia DR3 4977679633629578368,0.0159,-49.12755,ROT
ASASSN-V J000003.85+280846.0,0.01607,28.1461,ROT
Gaia DR3 2881769059565367040,0.0161,39.20941,ROT
ZTF J000003.88+553759.9,0.01619,55.63331,EW
MGAB-V1291,0.01623,67.59858,TTS/DIP
Gaia DR3 431630714178285568,0.0163,63.88569,RRC
Gaia DR3 2773658066935181696,0.01634,17.11775,ROT
ZTF J000003.92+614456.1,0.01636,61.74894,EW
Gaia DR3 2853164096337148544,0.01654,25.73046,ROT
Gaia DR3 2873725822770198272,0.01656,31.62602,E
Gaia DR3 393913062992678528,0.01658,50.15118,ROT
CSS_J000004.0+182425,0.01669,18.40698,RRAB
Gaia DR3 395716403802989184,0.0167,52.31163,ROT
Gaia DR3 2882197903460260096,0.01685,40.97526,ROT
Gaia DR3 528609289003151872,0.01705,67.85031,E
Gaia DR3 396313816575359488,0.01707,54.14368,ROT
Gaia DR3 2341731893378035072,0.01716,-20.67226,E
Mis V1378,0.01724,57.10467,SR
Gaia DR3 423292155430685440,0.01726,59.76405,S
Gaia DR3 2882276960922754176,0.01763,41.34326,S
Gaia DR3 2414352441665498880,0.01769,-18.14029,ROT
Gaia DR3 4684095804080239616,0.01804,-77.14025,ROT
ZTF J000004.34+522031.5,0.01809,52.34209,BY
ZTF J000004.34+554359.8,0.01809,55.73328,EW
ZTF J000004.34+510505.0,0.0181,51.08474,EW
Gaia DR3 423160179673872768,0.01817,59.18507,ROT
Gaia DR3 2881749199636625152,0.01821,39.00723,ROT
Gaia DR3 396167031771872128,0.01835,53.33457,DSCT|GDOR|SXPHE
ZTF J000004.41+581846.9,0.0184,58.31303,BY
ZTF J000004.49+514615.4,0.01871,51.77095,DSCT
ZTF J000004.56+453022.7,0.01902,45.50633,RS
Gaia DR3 396305604597581184,0.01932,54.01156,ROT
Gaia DR3 4634555933301424896,0.0194,-80.10208,L
Gaia DR3 393877986002487040,0.01942,49.77275,ROT
Gaia DR3 423197009012325248,0.01945,59.61031,ROT
Gaia DR3 420487674920250880,0.01946,55.39246,E
Gaia DR3 2341315595084119424,0.02011,-21.84051,S
Gaia DR3 2771993749928513152,0.02036,14.89834,ROT
Gaia DR3 540394400090438528,0.0204,77.79335,DSCT|GDOR|SXPHE
Gaia DR3 423302600791042432,0.02042,59.9916,RS
Gaia DR3 2448235095066687104,0.02049,-2.89683,ROT
Gaia DR3 395753100004168064,0.02059,52.71804,ROT
ZTF J000004.98+524230.9,0.02076,52.7086,BY
ZTF J000005.00+555613.9,0.02087,55.9372,EW
Gaia DR3 2882283253050283776,0.02095,41.4148,ROT
Gaia DR3 531239320821445760,0.02117,71.01219,ROT
ZTF J000005.13+503833.5,0.02138,50.64264,BY
Gaia DR3 2447845077676219904,0.0215,-3.7125,S
Gaia DR3 2447846830022873984,0.02159,-3.60453,ROT
ASASSN-V J000005.21+650537.8,0.02172,65.09384,DSCT
Gaia DR3 429950213735497856,0.02187,62.52943,DSCT|GDOR|SXPHE
Gaia DR3 384447921440882304,0.02191,42.62132,ROT
ZTF J000005.34+543148.7,0.02228,54.5302,DSCT
Gaia DR3 420936417407807744,0.02232,56.37293,ROT
Gaia DR3 396167203570549120,0.02236,53.37011,VAR
Gaia DR3 2873753649863150848,0.02255,32.06533,ROT
Gaia DR3 540291153374376704,0.02256,77.53128,ROT
Gaia DR3 396316702792971520,0.02257,54.30887,VAR
ASASSN-V J000005.47+615210.6,0.02281,61.86962,L
Gaia DR3 537573023193069696,0.02293,73.26372,ROT
Gaia DR3 423186052557642752,0.02297,59.33762,S
Gaia DR3 420898930932570880,0.02356,55.88776,DSCT|GDOR|SXPHE
Gaia DR3 420908375557358848,0.02384,56.13661,ROT
ZTF J000005.74+573228.7,0.02393,57.54131,BY
Gaia DR3 421050663536562432,0.02398,56.93728,ROT
Gaia DR3 4976501025884369664,0.02412,-50.86458,ROT
Gaia DR3 420901645351835008,0.02439,56.01857,DSCT|GDOR|SXPHE
Gaia DR3 2765348885765755520,0.02449,10.69449,ROT
Gaia DR3 393886782095459840,0.02452,49.9624,E
ASASSN-V J000005.89-374920.8,0.02456,-37.82244,ROT
Gaia DR3 396269870468951936,0.02461,53.58568,ROT
ZTF J000005.94+555900.1,0.02479,55.98338,EW
UNSW-V 312,0.025,-59.74675,EA
Gaia DR3 4977956435682659712,0.02501,-48.46903,ROT
Gaia DR3 422739616478334336,0.02502,58.46197,S
Gaia DR3 2875019226401682944,0.02502,33.40354,S
ZTF J000006.06+420028.2,0.02527,42.00784,EW
