id_objeto,nombre_vsx,clase_variable,ra_x,dec_x,tic_id,tic_ra,tic_dec,origen_etiqueta,clase_variable_normalizada,ra_y,dec_y
TIC_MISSING,Gaia DR3 2428319056837127552,ROT,3.43488,-9.67054,408005720.0,3.43488305940592,-9.670543021197908,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428316479856752512,ROT,3.48019,-9.7178,408005732.0,3.48018821662161,-9.71779667533088,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428305072423621888,RS,3.4803,-9.90511,408005767.0,3.48029590198413,-9.905105180743528,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429290269201563392,ROT,3.49925,-8.69614,408005529.0,3.49926159074107,-8.69613796037894,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429297106789506944,RS,3.53441,-8.6005,408005497.0,3.53440569066567,-8.6004982454647,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001408.9-092905,RRAB,3.53722,-9.48486,408005679.0,3.53717580746852,-9.48487064398309,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428311566414503424,S,3.55994,-9.84811,408006551.0,3.55995310333672,-9.8481041783246,VSX,S,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428393686188897536,ROT,3.57657,-9.44648,408006640.0,3.5765769263837695,-9.446475410227748,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429378161412331136,ROT,3.62927,-8.2554,408012439.0,3.6292721058285906,-8.255399070529052,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,PS1-3PI J001435.52-092058.4,RRC,3.648,-9.34956,610490622.0,3.64800079252772,-9.34958847455763,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
